filename,label,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
blues.00000.wav,blues,30.01333333,0.3501285,0.08877166,0.13018432,0.00282838,1784.122641,129745.4844,2002.412407,85834.41041,3805.72303,901252.9167,0.083044821,0.000766946,-4.91e-05,0.008172463,0.007674946,0.00798916,[123.046875],-113.59882,2569.3694,121.57067,295.8471,-19.162262,235.58444,42.36394,151.03873,-6.362266,167.99289,18.621931,89.17242,-13.699734,67.60309,15.339802,69.001495,-12.274304,82.21985,10.970945,63.346542,-8.326061,61.76499,8.802088,51.28075,-3.6699412,41.215897,5.7446756,40.517525,-5.162783,49.78423,0.75170636,52.424534,-1.6878542,36.535866,-0.4087299,41.603172,-2.3026767,55.053654,1.2224671,46.94135
blues.00001.wav,blues,30.01333333,0.3408494,0.09497618,0.09590782,0.00237272,1530.261767,375915.5088,2038.987608,213905.1032,3550.713616,2978310.904,0.056039809,0.001447521,0.000141281,0.005101334,0.053036407,0.01133898,[67.99958882],-207.52383,7769.1045,123.98514,559.9134,8.947019,572.3363,35.86715,264.7167,2.9095948,279.97604,21.519472,156.36682,-8.556513,200.80203,23.370676,142.56712,-10.103608,166.11464,11.899242,104.35725,-5.558824,105.15637,5.3778763,96.20453,-2.2344916,64.87307,4.220704,73.15043,-6.0106864,52.429462,0.92929417,55.337967,-0.7284028,60.231415,0.29687244,48.133217,-0.28243044,51.106014,0.53064436,45.7887
blues.00002.wav,blues,30.01333333,0.36353773,0.08525664,0.17547321,0.002750858,1552.832481,156471.0109,1747.754087,76295.4134,3042.410115,784130.8744,0.076291207,0.001006829,-1.82e-06,0.016344344,0.020468997,0.014084323,[161.49902344],-90.757164,3317.887,140.44087,508.85614,-29.084547,412.06442,31.686693,143.95422,-13.976547,155.66135,25.753752,74.391716,-13.66499,106.841034,11.634442,106.52026,-11.778322,65.48224,9.714756,67.84235,-13.125314,57.67196,5.791247,64.49477,-8.901966,60.390575,-1.08016,57.69022,-9.226244,36.51437,2.4483044,40.641678,-7.7248397,47.629646,-1.819024,52.393597,-3.4404573,46.6434,-2.2381277,30.65315
blues.00003.wav,blues,30.01333333,0.40485436,0.09399866,0.14104027,0.006347602,1070.153418,184366.0094,1596.422564,166551.8442,2184.879029,1493077.849,0.033308863,0.000422759,3.61e-06,0.019055042,0.034265145,0.024952725,[63.02400915],-199.57513,5508.2666,150.0861,456.30908,5.663404,257.10977,26.855278,158.36113,1.7700713,267.97372,14.232647,126.80743,-4.827845,155.94673,9.286853,81.2703,-0.75612015,92.3018,8.134435,71.381836,-3.200026,110.269356,6.078081,48.21452,-2.478445,56.776222,-1.081587,62.243004,-2.874454,51.60982,0.773994,44.432903,-3.3240688,50.218452,0.63631064,37.325726,-0.6159676,37.257774,-3.405046,31.965258
blues.00004.wav,blues,30.01333333,0.30852598,0.08784315,0.09150122,0.002305285,1835.128513,343249.4957,1748.410758,88378.70448,3579.957471,1572336.299,0.101460539,0.001954125,-1.85e-05,0.004814488,-0.037428407,0.020877205,[135.99917763],-160.35417,5199.1035,126.20948,853.27124,-35.581394,334.03232,22.139256,193.75323,-32.47355,336.4254,10.850702,134.86504,-23.35007,93.29354,0.4932492,124.73352,-11.796538,129.97537,1.2035192,99.71714,-13.084959,80.243164,-2.8104992,86.436485,-6.9344707,89.548325,-7.5538754,70.91569,-9.167669,75.75422,-4.5158625,85.9952,-5.451786,75.27674,-0.91595227,53.633236,-4.4080176,62.882492,-11.704385,55.190254
blues.00005.wav,blues,30.01333333,0.30252185,0.087551296,0.103452876,0.003981162,1832.011597,1030483.831,1729.580804,201846.074,3481.467631,3274386.196,0.094041534,0.006233196,2.11e-06,0.008084325,0.001191697,0.032767176,[69.83741554],-177.80174,7307.454,118.20316,3195.2058,-17.57063,654.1079,30.760927,485.68988,-21.742554,433.27664,11.919263,266.4076,-20.734299,169.70601,3.1852882,133.70337,-8.580818,172.22574,-0.9328851,100.121,-11.772245,76.554756,-2.408764,78.802635,-9.348446,80.10772,-9.942636,47.534428,-3.9021835,60.0207,-5.574562,72.57674,-1.8393143,68.66612,-2.7893167,42.470524,-3.047805,39.803387,-8.109732,46.282936
blues.00006.wav,blues,30.01333333,0.29142597,0.09398485,0.14175196,0.008782076,1459.469691,438024.9988,1389.068446,185156.3212,2795.910729,1621507.81,0.073052237,0.001909171,-1.17e-05,0.016931476,-0.004930038,0.037485673,[71.77734375],-190.0688,9653.348,130.27023,1933.7037,-36.362114,1307.0305,33.036213,480.1932,11.093892,1082.9683,-0.591882,280.1115,-20.890266,151.6834,0.27844244,102.85332,-6.496385,131.09851,-5.5127354,153.40236,-7.847404,87.50639,-3.1243007,64.21006,-6.6028214,79.14686,-9.95,63.038445,-6.5426893,86.344986,-10.072228,83.25455,-10.918623,56.950497,-6.9652433,38.267097,-3.4394317,48.163643,-6.484499,70.213455
blues.00007.wav,blues,30.01333333,0.30737153,0.09285334,0.13176751,0.005531931,1451.859414,449601.6407,1577.567116,168197.5994,2955.319717,1629557.414,0.061442246,0.001848816,1.86e-05,0.013231742,-0.04463919,0.023910166,[92.28515625],-179.3723,6573.5034,136.44833,1479.0457,-26.662588,591.2087,39.96545,353.4062,5.3108945,650.08966,10.919133,136.28798,-20.559534,163.69316,8.503361,151.28441,-11.349764,171.91977,-3.4705548,178.22743,-8.415842,147.56088,-6.957211,83.71853,-3.5460427,93.2653,-8.051758,57.423862,-8.964918,82.25947,-8.427482,70.46944,-10.5642805,52.018356,-10.785659,60.50718,-4.6954694,65.581085,-8.631641,56.386944
blues.00008.wav,blues,30.01333333,0.40891296,0.08650006,0.14232728,0.001503119,1719.463366,163308.4332,2031.829366,105565.9243,3782.441191,1262984.568,0.064024888,0.000731482,-1.52e-06,0.012705841,0.033780701,0.010611029,[83.35433468],-121.38979,2619.6743,122.49833,414.5375,-14.734729,341.22403,46.122135,193.91731,-8.179258,177.07607,20.172466,106.94689,-19.171894,57.659283,23.036839,77.1547,-11.832729,42.568737,21.154655,58.8517,-6.7227974,48.918488,6.989506,56.535206,-12.730549,61.94805,5.0585384,50.54711,-5.1858063,33.02635,-1.453604,50.578175,-7.042629,28.908443,2.694213,36.896122,3.4095309,33.671597,-2.7137442,36.34232
blues.00009.wav,blues,30.01333333,0.27396762,0.09231063,0.08128055,0.004346177,1817.23059,298141.4244,1973.792039,114140.1445,3943.831966,1366784.347,0.079174824,0.001377659,-4.36e-06,0.007221093,0.028891829,0.027029439,[80.74951172],-213.26424,6132.9727,115.16476,798.2638,-11.69817,669.0846,39.015358,350.93396,-20.34833,531.99756,13.082702,278.2447,-9.1827,126.45182,9.017152,67.964165,-14.104312,110.09561,4.271254,92.602684,-6.0507803,84.85938,3.7858355,104.41364,0.22263548,76.34565,-5.1068816,85.42631,-0.41015333,103.98576,-1.1793449,59.323414,-1.9147079,58.461433,-2.2936609,83.12304,2.8842604,77.04225,-4.233879,91.44655
